"runner_id","name","profile_url","nationality","toyko_time","chicago_time","berlin_time","newyorkcity_time","boston_time","london_time","toyko_year","chicago_year","berlin_year","newyorkcity_year","boston_year","london_year"
496991,"Oscar Len Abad","/members/profile/len-abad/view/","ESP",NA,NA,"4:08:52",NA,NA,NA,NA,NA,"2019",NA,NA,NA
374189,"Felipe Abad","/members/profile/abad-5/view/","USA",NA,NA,NA,NA,"3:34:54",NA,NA,NA,NA,NA,"2019",NA
610546,"Ramses Abad Rando","/members/profile/abad-rando/view/","ESP",NA,NA,NA,"4:47:12",NA,NA,NA,NA,NA,"2019",NA,NA
378618,"Juan Abad Lázaro","/members/profile/abad-lazaro/view/","ESP",NA,NA,NA,NA,"3:23:17",NA,NA,NA,NA,NA,"2019",NA
484132,"Eva Maria Abad Martin","/members/profile/abad-martin/view/","ESP",NA,NA,"4:16:42",NA,NA,NA,NA,NA,"2019",NA,NA,NA
819767,"Jesus Abad Busto","/members/profile/abad-busto/view/","ESP","4:50:28","3:07:40","3:35:58","3:12:50","3:24:47","3:23:17","2015","2016","2012","2008","2018","2010"
110928,"Roberto de Sousa Abad","/members/profile/abad-1/view/","BRA","3:44:01","3:32:42",NA,NA,NA,NA,"2019","2018",NA,NA,NA,NA
26429,"Carlos Abad","/members/profile/abad/view/","VEN",NA,NA,"5:57:24",NA,NA,NA,NA,NA,"2018",NA,NA,NA
114821,"Juan Carlos Abad Decker","/members/profile/abad-decker/view/","ECU",NA,"4:10:47",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
548670,"Arlene Abad","/members/profile/abad-7/view/","PHI",NA,"5:21:01",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
207201,"Bonifacio Abad","/members/profile/abad-2/view/","USA",NA,NA,NA,"5:44:15",NA,NA,NA,NA,NA,"2019",NA,NA
29411,"Tarek ABADA","/members/profile/abada/view/","ALG",NA,NA,"4:42:52","4:29:24",NA,NA,NA,NA,"2018","2019",NA,NA
609620,"Nathalie Abadie","/members/profile/abadie/view/","FRA",NA,NA,NA,"5:26:32",NA,NA,NA,NA,NA,"2019",NA,NA
654733,"Jose Edgardo Rivera Abadie","/members/profile/rivera-abadie/view/","HON",NA,"3:27:31",NA,"3:36:10",NA,NA,NA,"2015",NA,"2019",NA,NA
45997,"Gonzalo del Barrio Abadie","/members/profile/del-barrio-abadie/view/","ESP",NA,"4:14:35","4:03:50","4:07:05",NA,NA,NA,"2019","2018","2017",NA,NA
130442,"Anna Abadias Morales","/members/profile/abadias-morales/view/","ESP",NA,"4:12:34","3:36:00","3:42:35",NA,NA,NA,"2019","2019","2018",NA,NA
118731,"Karla Abadia Cubillo","/members/profile/abadia-cubillo/view/","CRC",NA,"4:36:47",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
46127,"Javier Abadia Miranda","/members/profile/abadia-miranda/view/","ESP",NA,NA,"4:12:13",NA,NA,NA,NA,NA,"2018",NA,NA,NA
636784,"Ricard Abadias","/members/profile/abadias/view/","USA",NA,NA,NA,"2:50:52",NA,NA,NA,NA,NA,"2019",NA,NA
101029,"Shabirhusain Abadin","/members/profile/abadin/view/","USA",NA,"5:34:39",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
207533,"Dahlia Abadir","/members/profile/abadir/view/","USA",NA,NA,NA,"6:10:31",NA,NA,NA,NA,NA,"2018",NA,NA
96991,"Seada Abagaro","/members/profile/abagaro/view/","ETH",NA,"4:12:33",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
641540,"Maricar Abajero","/members/profile/abajero/view/","USA",NA,"5:18:03",NA,"5:49:15",NA,NA,NA,"2016",NA,"2019",NA,NA
192151,"Ignacio Abajo Mocho","/members/profile/abajo-mocho/view/","ESP",NA,NA,NA,"4:26:31",NA,NA,NA,NA,NA,"2018",NA,NA
26361,"Emilio Abal Morrazo","/members/profile/abal-morrazo/view/","ESP",NA,NA,"3:40:36",NA,NA,NA,NA,NA,"2018",NA,NA,NA
29413,"Guillermo Sebastian Aballi De Leon Regil","/members/profile/aballi-de-leon-regil/view/","GUA",NA,"3:33:56","3:54:35",NA,NA,NA,NA,"2019","2018",NA,NA,NA
175167,"Michael Abalajon","/members/profile/abalajon/view/","USA",NA,NA,NA,"4:53:31",NA,NA,NA,NA,NA,"2018",NA,NA
25876,"Patricia Aballay","/members/profile/aballay/view/","ARG",NA,"3:44:14","3:52:53",NA,NA,NA,NA,"2019","2018",NA,NA,NA
608523,"Stephanie Aballay","/members/profile/aballay-1/view/","USA",NA,NA,NA,"4:51:03",NA,NA,NA,NA,NA,"2019",NA,NA
634951,"Lee Jr. Abamonga","/members/profile/abamonga/view/","USA",NA,NA,NA,"6:02:53",NA,NA,NA,NA,NA,"2019",NA,NA
168687,"Francisco Abanco","/members/profile/abanco/view/","PHI",NA,NA,NA,"5:02:32",NA,NA,NA,NA,NA,"2018",NA,NA
377376,"Jennifer Abanero","/members/profile/abanero/view/","USA",NA,NA,NA,NA,"3:49:55",NA,NA,NA,NA,NA,"2019",NA
79387,"Suzanne Abany","/members/profile/abany/view/","USA",NA,NA,NA,NA,"4:59:48",NA,NA,NA,NA,NA,"2019",NA
377822,"Daniel Abankwa","/members/profile/abankwa/view/","USA",NA,NA,NA,NA,"4:50:52",NA,NA,NA,NA,NA,"2019",NA
73354,"Jolene Abanses","/members/profile/abanses/view/","USA",NA,NA,NA,NA,"3:24:57",NA,NA,NA,NA,NA,"2019",NA
105218,"Amanda Abar","/members/profile/abar/view/","USA",NA,"4:23:56",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
619575,"Tara Abaring","/members/profile/abaring/view/","USA",NA,NA,NA,"5:54:38",NA,NA,NA,NA,NA,"2019",NA,NA
547002,"Luke Abare","/members/profile/abare/view/","USA",NA,"3:36:53",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
